transcript	gene	chr	tx_start	tx_end	bp	n_exons	p_all	p_syn	p_mis	p_lof
ENST00000337907.3	RERE	1	8415146	8716356	4701	22	9.00046211441391e-05	2.70277614443319e-05	5.65052012531049e-05	6.47165844670234e-06
ENST00000054668.5	UTS2	1	7907825	7913491	420	5	4.93308472647733e-06	1.26273384322733e-06	3.2137448e-06	4.5660608325e-07
ENST00000054666.6	VAMP3	1	7831443	7839705	303	5	5.74026321027762e-06	1.52198965852762e-06	3.344343889e-06	8.7392966275e-07
ENST00000378083.3	KCNAB2	1	6111596	6158634	1248	15	5.73212466430825e-06	1.6784113955041e-06	3.55781345678859e-06	4.95899812015564e-07
ENST00000376259.3	TNFRSF1B	1	12227148	12267077	1386	10	2.93939188985507e-05	9.62208279230066e-06	1.7974776854e-05	1.79705925225e-06
ENST00000346436.6	CLCN6	1	11866319	11900280	2610	23	5.06446993947496e-05	1.46803094362496e-05	3.1631494652e-05	4.33289530650001e-06
ENST00000234875.4	RPL22	1	6246731	6259633	387	4	6.33387741163756e-06	1.80005423263755e-06	4.04087605200001e-06	4.92947127e-07
ENST00000400897.3	MASP2	1	11086941	11107264	2061	11	3.52158259006794e-05	1.05194311481794e-05	2.2111836939e-05	2.5845578135e-06
ENST00000376592.1	MTHFR	1	11850736	11863173	1971	11	3.91733537408154e-05	1.11028214110654e-05	2.4625112775e-05	3.44541955475e-06
ENST00000376572.3	KIAA2013	1	11980371	11986294	1905	3	1.14748395597051e-05	3.88921280777381e-06	7.11952228214791e-06	4.66104469783398e-07
ENST00000377577.5	DNAJC11	1	6695734	6761860	1680	16	3.10930262061762e-05	8.57355358442623e-06	1.8741030079e-05	3.77844254275e-06
ENST00000378378.4	ARHGEF16	1	3379648	3397151	2130	14	1.59409527113752e-05	4.77428555316314e-06	1.01877462933921e-05	9.78920864819931e-07
ENST00000377507.3	TNFRSF9	1	7980894	8000054	768	7	1.25921514390665e-05	3.50188961981654e-06	7.76933254899999e-06	1.32092927025e-06
ENST00000379236.3	TNFRSF4	1	1146934	1149507	834	7	1.20569049505027e-05	3.90872031291001e-06	7.58036546852745e-06	5.67819169065283e-07
ENST00000377436.3	CA6	1	9005945	9034503	942	8	1.46662397947336e-05	4.47200633923351e-06	9.10660910179938e-06	1.08762435370071e-06
