transcript	gene	chr	tx_start	tx_end	bp	n_exons	p_all	p_syn	p_mis	p_lof
ENST00000337907.3	RERE	1	8415146	8716356	4701	22	0.000180009242288278	5.40555228886638e-05	0.00011301040250621	1.29433168934047e-05
ENST00000054668.5	UTS2	1	7907825	7913491	420	5	9.86616945295466e-06	2.52546768645466e-06	6.4274896e-06	9.132121665e-07
ENST00000054666.6	VAMP3	1	7831443	7839705	303	5	1.14805264205552e-05	3.04397931705524e-06	6.688687778e-06	1.7478593255e-06
ENST00000378083.3	KCNAB2	1	6111596	6158634	1248	15	1.14642493286165e-05	3.35682279100821e-06	7.11562691357717e-06	9.91799624031128e-07
ENST00000376259.3	TNFRSF1B	1	12227148	12267077	1386	10	5.87878377971013e-05	1.92441655846013e-05	3.5949553708e-05	3.5941185045e-06
ENST00000346436.6	CLCN6	1	11866319	11900280	2610	23	0.000101289398789499	2.93606188724992e-05	6.3262989304e-05	8.66579061300002e-06
ENST00000234875.4	RPL22	1	6246731	6259633	387	4	1.26677548232751e-05	3.6001084652751e-06	8.08175210400002e-06	9.85894254e-07
ENST00000400897.3	MASP2	1	11086941	11107264	2061	11	7.04316518013588e-05	2.10388622963588e-05	4.4223673878e-05	5.169115627e-06
ENST00000376592.1	MTHFR	1	11850736	11863173	1971	11	7.83467074816308e-05	2.22056428221308e-05	4.925022555e-05	6.8908391095e-06
ENST00000376572.3	KIAA2013	1	11980371	11986294	1905	3	2.29496791194102e-05	7.77842561554762e-06	1.42390445642958e-05	9.32208939566796e-07
ENST00000377577.5	DNAJC11	1	6695734	6761860	1680	16	6.21860524123525e-05	1.71471071688525e-05	3.7482060158e-05	7.5568850855e-06
ENST00000378378.4	ARHGEF16	1	3379648	3397151	2130	14	3.18819054227504e-05	9.54857110632627e-06	2.03754925867843e-05	1.95784172963986e-06
ENST00000377507.3	TNFRSF9	1	7980894	8000054	768	7	2.51843028781331e-05	7.00377923963308e-06	1.5538665098e-05	2.6418585405e-06
ENST00000379236.3	TNFRSF4	1	1146934	1149507	834	7	2.41138099010055e-05	7.81744062582002e-06	1.51607309370549e-05	1.13563833813057e-06
ENST00000377436.3	CA6	1	9005945	9034503	942	8	2.93324795894672e-05	8.94401267846703e-06	1.82132182035988e-05	2.17524870740143e-06
ENST00000378585.4	GABRD	1	1950862	1961721	1359	9	6.95816367111522e-05	2.3140753983652e-05	4.29722387560002e-05	3.4686439715e-06
ENST00000328596.6	TNFRSF18	1	1138970	1141951	768	4	1.00006180011058e-05	3.39621040241317e-06	5.89859141348897e-06	7.05816185203632e-07
ENST00000344463.4	NADK	1	1684342	1696845	1776	13	6.88930312609202e-05	2.21560799235406e-05	4.1903033268965e-05	4.83391806841461e-06
ENST00000360001.6	SDF4	1	1152891	1164173	1089	6	5.12753169674687e-05	1.77948008284685e-05	3.08266653880002e-05	2.653850751e-06
ENST00000339381.5	TAS1R3	1	1266725	1269844	2559	6	0.000108077406549232	3.60994641052215e-05	6.67153161704885e-05	5.26262627352248e-06
ENST00000235329.5	MFN2	1	12049225	12071622	2274	17	7.73531518602448e-05	1.99377511767448e-05	5.0303503034e-05	7.1118976495e-06
ENST00000270776.8	PGD	1	10459174	10479806	1452	13	4.98331498278793e-05	1.50197600168793e-05	3.0546065558e-05	4.267324253e-06
ENST00000377424.4	SLC2A5	1	9097644	9129595	1506	12	6.33154520960746e-05	2.17634346195746e-05	3.7963426394e-05	3.5885910825e-06
ENST00000471889.1	SLC45A1	1	8384389	8404073	2247	8	0.000104460665642462	3.60668900204616e-05	6.27298195040002e-05	5.663956118e-06
